T,h-bar,u-bar,s-bar
1640.0,54434.0,40799.0,261.242
1660.0,55172.0,41370.0,261.69
1680.0,55912.0,41944.0,262.132
1700.0,56652.0,42517.0,262.571
1720.0,57394.0,43093.0,263.005
1740.0,58136.0,43669.0,263.435
1760.0,58880.0,44247.0,263.861
1780.0,59624.0,44825.0,264.283
1800.0,60371.0,45405.0,264.701
1820.0,61118.0,45986.0,265.113
1840.0,61866.0,46568.0,265.521
1860.0,62616.0,47151.0,265.925
1880.0,63365.0,47734.0,266.326
1900.0,64116.0,48319.0,266.722
1920.0,64868.0,48904.0,267.115
1940.0,65620.0,49490.0,267.505
1960.0,66374.0,50078.0,267.891
1980.0,67127.0,50665.0,268.275
2000.0,67881.0,51253.0,268.655
2050.0,69772.0,52727.0,269.588
2100.0,71668.0,54208.0,270.504
2150.0,73573.0,55697.0,271.399
2200.0,75484.0,57192.0,272.278
2250.0,77397.0,58690.0,273.136
2300.0,79316.0,60193.0,273.891
2350.0,81243.0,61704.0,274.809
2400.0,83174.0,63219.0,275.625
2450.0,85112.0,64742.0,276.424
2500.0,87057.0,66271.0,277.207
2550.0,89004.0,67802.0,277.979
2600.0,90956.0,69339.0,278.738
2650.0,92916.0,70883.0,279.485
2700.0,94881.0,72433.0,280.219
2750.0,96852.0,73987.0,280.942
2800.0,98826.0,75546.0,281.654
2850.0,100808.0,77112.0,282.357
2900.0,102793.0,78682.0,283.048
2950.0,104785.0,80258.0,283.728
3000.0,106780.0,81837.0,284.399
3050.0,108778.0,83419.0,285.06
3100.0,110784.0,85009.0,285.713
3150.0,112795.0,86601.0,286.355
3200.0,114809.0,88203.0,286.989
3250.0,116827.0,89804.0,287.614
